39.66377, -121.97323, 
39.66363, -121.97353, 
39.66354, -121.97376, 
39.66340, -121.97406, 
39.66331, -121.97430, 
39.66321, -121.97453, 
39.66312, -121.97477, 
39.66302, -121.97500, 
39.66288, -121.97535, 
39.66270, -121.97571, 
39.66251, -121.97600, 
39.66237, -121.97635, 
39.66219, -121.97659, 
39.66205, -121.97694, 
39.66191, -121.97723, 
39.66177, -121.97735, 
39.66159, -121.97758, 
39.66141, -121.97770, 
39.66122, -121.97775, 
39.66099, -121.97787, 
39.66081, -121.97793, 
39.66058, -121.97804, 
39.66040, -121.97816, 
39.66026, -121.97827, 
39.66012, -121.97845, 
39.65994, -121.97868, 
39.65971, -121.97891, 
39.65952, -121.97914, 
39.65938, -121.97937, 
39.65929, -121.97960, 
39.65925, -121.97989, 
39.65925, -121.98013, 
39.65920, -121.98036, 
39.65920, -121.98065, 
39.65916, -121.98094, 
39.65916, -121.98123, 
39.65911, -121.98158, 
39.65907, -121.98187, 
39.65897, -121.98216, 
39.65893, -121.98251, 
39.65888, -121.98268, 
39.65879, -121.98308, 
39.65879, -121.98343, 
39.65879, -121.98372, 
39.65879, -121.98401, 
39.65887, -121.98425, 
39.65896, -121.98448, 
39.65905, -121.98477, 
39.65919, -121.98501, 
39.65933, -121.98525, 
39.65941, -121.98548, 
39.65950, -121.98571, 
39.65959, -121.98589, 
39.65968, -121.98618, 
39.65972, -121.98642, 
39.65977, -121.98665, 
39.65981, -121.98683, 
39.65985, -121.98712, 
39.65985, -121.98735, 
39.65985, -121.98770, 
39.65981, -121.98799, 
39.65967, -121.98863, 
39.65975, -121.99061, 
39.65975, -121.99096, 
39.65975, -121.99136, 
39.65979, -121.99166, 
39.65979, -121.99195, 
39.65988, -121.99218, 
39.65993, -121.99248, 
39.66002, -121.99277, 
39.66006, -121.99307, 
39.66015, -121.99331, 
39.66024, -121.99354, 
39.66033, -121.99378, 
39.66038, -121.99407, 
39.66047, -121.99437, 
39.66056, -121.99467, 
39.66060, -121.99484, 
39.66069, -121.99514, 
39.66078, -121.99538, 
39.66087, -121.99556, 
39.66096, -121.99585, 
39.66110, -121.99615, 
39.66123, -121.99645, 
39.66142, -121.99675, 
39.66155, -121.99705, 
39.66169, -121.99712, 
39.66182, -121.99724, 
39.66196, -121.99743, 
39.66210, -121.99761, 
39.66233, -121.99792, 
39.66256, -121.99805, 
39.66270, -121.99811, 
39.66293, -121.99825, 
39.66316, -121.99826, 
39.66334, -121.99833, 
39.66357, -121.99846, 
39.66380, -121.99859, 
39.66404, -121.99866, 
39.66431, -121.99868, 
39.66450, -121.99869, 
39.66478, -121.99871, 
39.66506, -121.99873, 
39.66520, -121.99874, 
39.66539, -121.99875, 
39.66567, -121.99876, 
39.66585, -121.99877, 
39.66604, -121.99878, 
39.66637, -121.99880, 
39.66660, -121.99876, 
39.66684, -121.99871, 
39.66694, -121.99854, 
39.66765, -121.99835, 
39.66875, -121.99777, 
39.66899, -121.99760, 
39.66918, -121.99743, 
39.66937, -121.99726, 
39.66951, -121.99708, 
39.66960, -121.99685, 
39.66970, -121.99662, 
39.66975, -121.99638, 
39.66980, -121.99615, 
39.66981, -121.99591, 
39.66985, -121.99573, 
39.66986, -121.99549, 
39.66986, -121.99520, 
39.66986, -121.99496, 
39.66981, -121.99465, 
